当 dāng
绒 róng
帽 mào
拄 zhǔ
拐 guǎi
杖 zhàng
篓 lǒu
灾 zāi
街 jiē
巷 xiàng
问 wèn
津 jīn
炮 páo
制 zhì
庆 qìng
饥 jī
城 chéng
畅 chàng
饮 yǐn
缕 lǚ
愁 chóu
溢 yì
怀 huái
仿 fǎng
佛 fó
甜 tián
辣 là
啜 chuò
顿 dùn
爽 shuǎng
尘 chén
寞 mò
沏 qī
杯 bēi
芽 yá
嫩 nèn
染 rǎn
内 nèi
摘 zhāi
泡 pào
吹 chuī
绽 zhàn
刚 gāng
迢 tiáo
云 yún
雾 wù
郊 jiāo
麓 lù
拿 ná
语 yǔ
车 chē
忘 wàng
左 zuǒ
握 wò
盘 pán
腾 téng
右 yòu
摸 mō
东 dōng
扔 rēng
啊 ā
司 sī
嘴 zuǐ
撇 piē
脸 liǎn
笑 xiào
容 róng
拉 lā
驾 jià
驶 shǐ
释 shì
遇 yù
熟 shú
耽 dān
搁 gē
摇 yáo
颗 kē
蓬 péng
乱 luàn
草 cǎo
似 sì
胖 pàng
虾 xiā
般 bān
凸 tū
睛 jīng
算 suàn
找 zhǎo
磨 mó
爷 yé
块 kuài
腰 yāo
子 zǐ
吧 bā
懊 ào
恼 nǎo
辆 liàng
嘎 gā
停 tíng
茫 máng
仇 chóu
恨 hèn
浇 jiāo
灌 guàn
漠 mò
龟 guī
裂 liè
田 tián
缩 suō
猜 cāi
疑 yí
距 jù
愿 yuàn
辜 gū
负 fù
鞋 xié
瞅 chǒu
哼 hēng
哟 yō
啦 lā
急 jí
跑 pǎo
影 yǐng
逢 féng
侃 kǎn
溜 liū
供 gōng
职 zhí
珠 zhū
宝 bǎo
饰 shì
杂 zá
志 zhì
巧 qiǎo
组 zǔ
稿 gǎo
悉 xī
编 biān
辑 jí
拨 bō
蹦 bèng
灯 dēng
稳 wěn
嫂 sǎo
递 dì
看 kàn
甩 shuǎi
硬 yìng
邦 bāng
顺 shùn
帮 bāng
孩 hái
袱 fú
仍 réng
阴 yīn
谁 shuí
欠 qiàn
探 tàn
捎 shāo
双 shuāng
式 shì
属 shǔ
商 shāng
阳 yáng
移 yí
履 lǚ
疲 pí
惫 bèi
村 cūn
拎 līn
耐 nài
沉 chén
闷 mèn
厢 xiāng
异 yì
泻 xiè
搭 dā
讪 shàn
挣 zhēng
愧 kuì
疚 jiù
辛 xīn
净 jìng
站 zhàn
瞟 piǎo
挂 guà
途 tú
办 bàn
快 kuài
班 bān
断 duàn
索 suǒ
斩 zhǎn
奏 zòu
抢 qiāng
约 yuē
像 xiàng
倦 juàn
铺 pū
钻 zuān
蹿 cuān
哥 gē
阵 zhèn
昙 tán
燕 yàn
族 zú
运 yùn
担 dān
拒 jù
宴 yàn
请 qǐng
祸 huò
焦 jiāo
访 fǎng
谈 tán
贪 tān
官 guān
污 wū
吏 lì
衙 yá
暗 àn
舆 yú
监 jiān
督 dū
强 qiáng
宽 kuān
慰 wèi
坛 tán
仅 jǐn
惭 cán
耻 chǐ
辱 rǔ
县 xiàn
店 diàn
支 zhī
遥 yáo
导 dǎo
嗬 hē
警 jǐng
干 gān
鸣 míng
伸 shēn
旗 qí
姓 xìng
需 xū
祖 zǔ
宗 zōng
礼 lǐ
糟 zāo
粕 pò
侵 qīn
犯 fàn
维 wéi
护 hù
服 fú
务 wù
七 qī
嫔 pín
妃 fēi
纳 nà
妾 qiè
养 yǎng
伎 jì
炫 xuàn
耀 yào
男 nán
防 fáng
仪 yí
举 jǔ
吐 tǔ
痰 tán
浓 nóng
亨 hēng
除 chú
饯 jiàn
登 dēng
规 guī
忽 hū
仲 zhòng
贤 xián
予 yú
尧 yáo
普 pǔ
兵 bīng
权 quán
丁 dīng
响 xiǎng
婆 pó
款 kuǎn
匹 pǐ
桀 jié
表 biǎo
居 jū
局 jú
免 miǎn
袁 yuán
崇 chóng
焕 huàn
墓 mù
危 wēi
排 pái
饭 fàn
矫 jiǎo
咱 zán
桌 zhuō
酒 jiǔ
席 xí
激 jī
曾 zēng
扶 fú
跌 diē
撞 zhuàng
摔 shuāi
它 tā
谨 jǐn
谋 móu
构 gòu
象 xiàng
差 chà
歪 wāi
斜 xié
浅 qiǎn
纯 chún
创 chuàng
伯 bó
持 chí
况 kuàng
搞 gǎo
压 yā
肩 jiān
憾 hàn
益 yì
绪 xù
减 jiǎn
连 lián
棋 qí
咫 zhǐ
尺 chǐ
号 hào
舞 wǔ
团 tuán
答 dá
试 shì
音 yīn
喇 lǎ
叭 bā
铅 qiān
唱 chàng
圆 yuán
梦 mèng
计 jì
施 shī
选 xuǎn
喊 hǎn
偶 ǒu
脱 tuō
晚 wǎn
湾 wān
俯 fǔ
峦 luán
拥 yōng
翠 cuì
渺 miǎo
卷 juàn
徐 xú
裔 yì
韩 hán
石 shí
窟 kū
金 jīn
矿 kuàng
川 chuān
撰 zhuàn
造 zào
囊 náng
括 kuò
瞪 dèng
呆 dāi
证 zhèng
俗 sú
堪 kān
寻 xún
游 yóu
客 kè
旅 lǚ
挤 jǐ
彩 cǎi
菲 fēi
艳 yàn
照 zhào
依 yī
丰 fēng
掘 jué
召 zhào
筹 chóu
赵 zhào
凤 fèng
洞 dòng
僧 sēng
龛 kān
基 jī
怒 nù
哀 āi
漫 màn
轮 lún
融 róng
母 mǔ
哲 zhé
锁 suǒ
耗 hào
虚 xū
壁 bì
迦 jiā
涅 niè
卧 wò
米 mǐ
半 bàn
隐 yǐn
岩 yán
陷 xiàn
酷 kù
平 píng
齐 qí
损 sǔn
衣 yī
丽 lì
绢 juàn
缎 duàn
披 pī
凿 záo
绰 chuò
颇 pō
秘 mì
亮 liàng
秉 bǐng
烛 zhú
电 diàn
优 yōu
肖 xiāo
引 yǐn
项 xiàng
杰 jié
九 jiǔ
浴 yù
灰 huī
巨 jù
汩 gǔ
喷 pēn
畔 pàn
藤 téng
萝 luó
绕 rào
飞 fēi
恍 huǎng
姿 zī
驻 zhù
辉 huī
煌 huáng
孔 kǒng
雀 què
屏 píng
捏 niē
器 qì
塔 tǎ
房 fáng
屈 qū
密 mì
麻 má
零 líng
牛 niú
拜 bài
郎 láng
杨 yáng
颂 sòng
州 zhōu
赐 cì
紫 zǐ
袋 dài
勾 gōu
互 hù
嬉 xī
戏 xì
憨 hān
睡 shuì
憩 qì
丛 cóng
刍 chú
颈 jǐng
蝶 dié
潜 qián
栩 xǔ
微 wēi
彻 chè
谷 gǔ
斧 fǔ
乎 hū
耳 ěr
苍 cāng
绘 huì
留 liú
折 zhē
伏 fú
惨 cǎn
碑 bēi
载 zǎi
淳 chún
熙 xī
佑 yòu
沿 yán
峭 qiào
削 xiāo
迷 mí
凝 níng
睇 dì
宛 wǎn
纱 shā
遮 zhē
幻 huàn
含 hán
蹄 tí
敦 dūn
冈 gāng
摩 mó
寓 yù
焰 yàn
玄 xuán
洁 jié
射 shè
绚 xuàn
环 huán
纷 fēn
呈 chéng
魅 mèi
慧 huì
预 yù
独 dú
赢 yíng
设 shè
刷 shuā
附 fù
盲 máng
页 yè
码 mǎ
效 xiào
貌 mào
触 chù
凹 āo
剪 jiǎn
贴 tiē
另 lìng
黑 hēi
斑 bān
斓 lán
幸 xìng
唯 wéi
颜 yán
适 shì
费 fèi
怪 guài
诞 dàn
残 cán
疾 jí
伤 shāng
害 hài
剧 jù
模 mó
限 xiàn
填 tián
补 bǔ
衷 zhōng
挑 tiāo
摆 bǎi
辩 biàn
驳 bó
超 chāo
聋 lóng
哑 yǎ
曲 qū
型 xíng
铁 tiě
怕 pà
脉 mài
蚩 chī
帝 dì
寨 zhài
裹 guǒ
挟 xié
鼓 gǔ
厮 sī
杀 shā
震 zhèn
撼 hàn
雄 xióng
宇 yǔ
祭 jì
埋 mái
端 duān
鹰 yīng
瞵 lín
鹗 è
涿 zhuō
鹿 lù
亢 kàng
征 zhēng
恒 héng
撅 juē
托 tuō
榆 yú
淌 tǎng
沧 cāng
桑 sāng
蔽 bì
宏 hóng
虬 qiú
枯 kū
倔 jué
犟 jiàng
股 gǔ
惧 jù
轩 xuān
裸 luǒ
撕 sī
扯 chě
碎 suì
嶙 lín
峋 xún
萌 méng
凄 qī
刀 dāo
砍 kǎn
郁 yù
葱 cōng
松 sōng
鼠 shǔ
穿 chuān
推 tuī
追 zhuī
仗 zhàng
仓 cāng
促 cù
夯 hāng
坚 jiān
窝 wō
紧 jǐn
躬 gōng
丈 zhàng
筑 zhù
厚 hòu
决 jué
叱 chì
咤 zhà
愈 yù
诚 chéng
觅 mì
瞠 chēng
低 dī
峙 zhì
隔 gé
毗 pí
敞 chǎng
叠 dié
撒 sā
硕 shuò
屯 tún
守 shǒu
揭 jiē
跋 bá
悟 wù
窄 zhǎi
陡 dǒu
蜿 wān
蜒 yán
踏 tà
浮 fú
趔 liè
趄 qiè
塘 táng
戈 gē
扰 rǎo
浑 hún
浊 zhuó
切 qiē
诸 zhū
侯 hóu
遂 suì
擒 qín
赅 gāi
晨 chén
谒 yè
遏 è
狼 láng
剽 piāo
悍 hàn
孝 xiào
宾 bīn
潮 cháo
莫 mò
肥 féi
犬 quǎn
劳 láo
吗 má
箱 xiāng
琴 qín
侍 shì
汽 qì
该 gāi
乘 chéng
妨 fáng
例 lì
尖 jiān
怜 lián
娇 jiāo
惯 guàn
娃 wá
恶 è
责 zé
吞 tūn
剥 bāo
案 àn
邻 lín
击 jī
凶 xiōng
兀 wù
骂 mà
猝 cù
涵 hán
乳 rǔ
臭 chòu
赌 dǔ
瘾 yǐn
砝 fǎ
禅 chán
划 huá
策 cè
殷 yīn
假 jiǎ
鸡 jī
嘲 cháo
弄 nòng
慈 cí
祥 xiáng
惋 wǎn
赞 zàn
扬 yáng
必 bì
疼 téng
健 jiàn
赤 chì
伟 wěi
绩 jì
牺 xī
牲 shēng
甚 shèn
姻 yīn
幼 yòu
布 bù
乞 qǐ
脯 fǔ
抚 fǔ
汁 zhī
批 pī
弹 dàn
沦 lún
凡 fán
省 shěng
牢 láo
镌 juān
隆 lóng
邓 dèng
颖 yǐng
龄 líng
袖 xiù
址 zhǐ
罗 luó
呼 hū
酝 yùn
酿 niàng
旨 zhǐ
灭 miè
怖 bù
抽 chōu
输 shū
鲜 xiān
奴 nú
训 xùn
练 liàn
仆 pū
寒 hán
殍 piǎo
遍 biàn
忧 yōu
涌 yǒng
病 bìng
吼 hǒu
