当 dāng
骞 qiān
槎 chá
筏 fá
鹭 lù
聒 guō
吠 fèi
冢 zhǒng
谶 chèn
拽 zhuài
簌 sù
漱 shù
桓 huán
胄 zhòu
槟 bīn
毽 jiàn
骁 xiāo
洙 zhū
龃 jǔ
龉 yǔ
鲨 shā
茜 qiàn
衩 chà
腱 jiàn
牒 dié
鏖 áo
裆 dāng
娣 dì
珏 jué
锤 chuí
畿 jī
刽 guì
咋 zǎ
郓 yùn
吭 háng
纣 zhòu
搡 sǎng
拷 kǎo
瘸 qué
锭 dìng
飓 jù
妓 jì
憔 qiáo
悴 cuì
趾 zhǐ
褒 bāo
懑 mèn
嚎 háo
啕 táo
歃 shà
灼 zhuó
哎 āi
笙 shēng
玖 jiǔ
胚 pēi
箍 gū
栎 lì
镣 liào
铐 kào
涡 wō
糜 mí
靓 jìng
沽 gū
铬 gè
淦 gàn
钡 bèi
戳 chuō
陨 yǔn
猾 huá
铀 yóu
鳌 áo
窖 jiào
淼 miǎo
昵 nì
穑 sè
嗖 sōu
姥 mǔ
袜 wà
噌 cēng
釜 fǔ
狄 dí
钕 nǚ
硼 péng
蕉 jiāo
锟 kūn
钽 tǎn
铌 ní
钴 gǔ
铂 bó
踌 chóu
躇 chú
胺 àn
弋 yì
疹 zhěn
毯 tǎn
瘪 biē
蟑 zhāng
螂 láng
椴 duàn
芥 jiè
摈 bìn
斡 wò
浜 bāng
瞿 qú
铱 yī
椭 tuǒ
劾 hé
钎 qiān
鸫 dōng
弑 shì
铤 tǐng
呻 shēn
泷 lóng
骛 wù
讥 jī
揶 yé
揄 yú
叛 pàn
隍 huáng
诲 huì
懿 yì
纰 pī
弩 nǔ
轺 yáo
辎 zī
辚 lín
煊 xuān
羲 xī
娲 wā
麒 qí
娆 ráo
辇 niǎn
霏 fēi
砰 pēng
谚 yàn
槲 hú
猬 wèi
榈 lǘ
稠 chóu
疡 yáng
殚 dān
痢 lì
囹 líng
圄 yǔ
谆 zhūn
孀 shuāng
捱 ái
瞳 tóng
疱 pào
祟 suì
蛊 gǔ
窠 kē
臼 jiù
浒 hǔ
爻 yáo
呷 xiā
茉 mò
辗 zhǎn
髫 tiáo
遑 huáng
洇 yīn
欹 qī
庵 ān
鸵 tuó
伽 qié
臀 tún
樱 yīng
眈 dān
疸 dǎn
矸 gān
攥 zuàn
匕 bǐ
赓 gēng
瓴 líng
楝 liàn
妁 shuò
诋 dǐ
汴 biàn
琬 wǎn
骧 xiāng
惺 xīng
鸾 luán
醴 lǐ
豢 huàn
瓮 wèng
舜 shùn
帧 zhēn
纂 zuǎn
搔 sāo
溟 míng
咎 jiù
濑 lài
恙 yàng
妊 rèn
娠 shēn
烬 jìn
莨 làng
菪 dàng
毡 zhān
蹇 jiǎn
胥 xū
貉 hé
熨 yùn
苯 běn
酞 tài
酯 zhǐ
壬 rén
酚 fēn
揆 kuí
柩 jiù
疙 gē
瘩 dá
槿 jǐn
菅 jiān
憎 zēng
岫 xiù
臃 yōng
唠 lào
姗 shān
鸠 jiū
诙 huī
脐 qí
璎 yīng
啻 chì
诩 xǔ
伶 líng
痂 jiā
飕 sōu
褪 tuì
梵 fàn
潋 liàn
滟 yàn
铠 kǎi
捭 bǎi
阖 hé
祯 zhēn
琥 hǔ
纭 yún
蜷 quán
岿 kuī
苘 qǐng
戊 wù
戌 xū
鞅 yāng
鳄 è
珙 gǒng
滦 luán
汞 gǒng
罟 gǔ
飨 xiǎng
膛 táng
囱 cōng
鲅 bà
蜇 zhé
琚 jū
抠 kōu
疝 shàn
舸 gě
筠 yún
戡 kān
牾 wǔ
佃 diàn
汐 xī
恺 kǎi
癫 diān
痫 xián
钬 huǒ
柠 níng
谑 xuè
噢 ō
嘻 xī
讷 nè
鸥 ōu
莺 yīng
墒 shāng
蘖 niè
骝 liú
驷 sì
嵊 shèng
侣 lǚ
赎 shú
濮 pú
砧 zhēn
颞 niè
亓 qí
瀛 yíng
舫 fǎng
逄 páng
孑 jié
焖 mèn
膻 shān
苓 líng
聩 kuì
蚂 mǎ
淖 nào
殓 liàn
绮 qǐ
狈 bèi
鬻 yù
鹚 cí
溴 xiù
蹭 cèng
呛 qiāng
沣 fēng
筵 yán
刨 páo
艮 gèn
瓤 ráng
鬃 zōng
忿 fèn
撷 xié
谲 jué
捻 niǎn
蹉 cuō
跎 tuó
枰 píng
掮 qián
鹜 wù
錾 zàn
羌 qiāng
仨 sā
螳 táng
隗 wěi
鹄 gŭ
剌 là
磡 kàn
鏊 ào
巳 sì
鹞 yào
翳 yì
啭 zhuàn
滁 chú
糯 nuò
剁 duò
沅 yuán
羹 gēng
袅 niǎo
憷 chù
闾 lǘ
跹 xiān
谗 chán
宓 mì
恿 yǒng
诮 qiào
踱 duó
惘 wǎng
酊 dīng
脘 wǎn
腠 còu
茌 chí
酽 yàn
匍 pú
匐 fú
炔 quē
谡 sù
胼 pián
胝 zhī
鼾 hān
葳 wēi
蕤 ruí
杳 yǎo
芨 jī
喑 yīn
偎 wēi
潦 lǎo
嗟 jiē
舛 chuǎn
翎 líng
訇 hōng
疵 cī
趸 dǔn
呓 yì
辘 lù
轳 lú
宥 yòu
钤 qián
馗 kuí
觏 gòu
橥 zhū
皴 cūn
佰 bǎi
冼 xiǎn
鸢 yuān
祉 zhǐ
缰 jiāng
擢 zhuó
赉 lài
嫖 piáo
娼 chāng
泱 yāng
痈 yōng
荜 bì
晔 yè
涞 lái
漶 huàn
眭 guì
臊 sāo
瘙 sào
癣 xuǎn
崂 láo
楣 méi
蟋 xī
蟀 shuài
佬 lǎo
旌 jīng
佚 yì
栈 zhàn
诒 yí
矍 jué
铄 shuò
婀 ē
槁 gǎo
搦 nuò
杈 chā
蹁 pián
忻 xīn
暄 xuān
檬 méng
爿 pán
狸 lí
蚧 jiè
獐 zhāng
莴 wō
腩 nǎn
酹 lèi
叼 diāo
黏 nián
孽 niè
凇 sōng
踹 chuài
揍 zòu
舷 xián
藜 lí
莅 lì
陛 bì
飚 biāo
珂 kē
佟 tóng
镠 liú
镛 yōng
璪 zǎo
芃 péng
菎 kūn
灏 hào
崑 kūn
宦 huàn
骊 lí
郜 gào
趚 sù
萱 xuān
晞 xī
毓 yù
捩 liè
骈 pián
稗 bài
餍 yàn
紬 chōu
笳 jiā
嗽 sòu
碛 qì
庶 shù
漩 xuán
踯 zhí
躅 zhú
沩 wéi
靥 yè
阗 tián
驸 fù
铡 zhá
靴 xuē
囫 hú
囵 lún
郾 yǎn
泗 sì
咔 kǎ
嚓 cā
囔 nāng
嗷 áo
殒 yǔn
俸 fèng
轶 yì
皙 xī
唏 xī
蔻 kòu
鳗 mán
箴 zhēn
烊 yáng
箩 luó
踅 xué
哦 ó
稣 sū
皑 ái
踟 chí
蹰 chú
蛰 zhé
郧 yún
郴 chēn
焱 yàn
喆 zhé
翥 zhù
崐 kūn
蒯 kuǎi
崃 lái
煅 duàn
罘 fú
钣 bǎn
锠 chāng
鄞 yín
癀 huáng
筱 xiǎo
硚 qiáo
湧 yǒng
闫 yán
昇 shēng
興 xīng
璠 fán
佘 shé
臵 gé
锫 péi
钼 mù
昶 chǎng
岘 xiàn
銮 luán
皿 mǐn
豚 tún
晗 hán
旻 mín
曜 yào
咩 miē
噗 pū
幺 yāo
鴨 yā
妞 niū
嗨 hāi
呦 yōu
哒 dā
楂 zhā
財 cái
務 wù
錢 qián
囗 wéi
訴 sù
愛 ài
轉 zhuǎn
揮 huī
淚 lèi
邊 biān
頭 tóu
還 huán
兒 ér
麼 mó
為 wéi
遠 yuǎn
強 qiáng
當 dāng
會 huì
變 biàn
誰 shuí
咁 xián
謝 xiè
華 huá
緣 yuán
蝎 xiē
羯 jié
囧 jiǒng
泮 pàn
喵 miāo
寵 chǒng
飛 fēi
殇 shāng
呸 pēi
嗮 sǎi
來 lái
發 fā
個 gè
夢 mèng
責 zé
備 bèi
嗎 má
沒 méi
識 shí
徹 chè
卻 què
丶 zhǔ
頂 dǐng
槍 qiāng
炷 zhù
買 mǎi
禮 lǐ
雖 suī
捨 shě
過 guò
歡 huān
魷 yóu
魚 yú
張 zhāng
嘿 hēi
嗲 diǎ
趕 gǎn
對 duì
妳 nǐ
們 mén
痞 pǐ
呃 è
觀 guān
點 diǎn
樣 yàng
覺 jué
開 kāi
總 zǒng
與 yǔ
見 jiàn
時 shí
頓 dùn
慶 qìng
視 shì
帶 dài
給 gěi
難 nán
憶 yì
饞 chán
樂 lè
穎 yǐng
歲 suì
討 tǎo
唔 wù
關 guān
話 huà
攞 luó
細 xì
嘅 kǎi
氣 qì
無 wú
薏 yì
蒡 bàng
萬 wàn
倲 dōng
內 nèi
這 zhè
帥 shuài
説 shuō
東 dōng
別 bié
醫 yī
藥 yào
雜 zá
誌 zhì
訪 fǎng
問 wèn
鏡 jìng
谂 shěn
參 cān
藝 yì
賞 shǎng
選 xuǎn
聖 shèng
機 jī
獲 huò
場 cháng
劵 juàn
喔 ō
灣 wān
娛 yú
網 wǎng
紅 hóng
燒 shāo
麵 miàn
綠 lǜ
譚 tán
簋 guǐ
厭 yàn
現 xiàn
離 lí
換 huàn
軟 ruǎn
絕 jué
忒 tè
艹 cǎo
杵 chǔ
獣 shòu
潼 tóng
敉 mǐ
琍 lí
擺 bǎi
脫 tuō
尐 jié
釨 zǐ
叁 sān
屌 diǎo
屙 ē
鳃 sāi
擼 lū
蝥 máo
歺 è
鮮 xiān
寳 bǎo
勺 sháo
伱 nǐ
尜 gá
厶 sī
黍 shǔ
戶 hù
査 chá
葉 yè
麽 mó
劇 jù
亞 yā
綸 lún
簽 qiān
螨 mǎn
歷 lì
啪 pā
棄 qì
裡 lǐ
犇 bēn
經 jīng
進 jìn
單 dān
貓 māo
沵 mǐ
淰 niǎn
錯 cuò
動 dòng
續 xù
運 yùn
臨 lín
曺 cáo
鄭 zhèng
婧 jìng
婳 huà
吳 wú
榛 zhēn
蝙 biān
蝠 fú
掸 dǎn
嘞 lei
荭 hóng
澀 sè
囶 guó
匵 dú
巻 juàn
嗒 tà
荚 jiá
誤 wù
說 shuō
針 zhēn
鍋 guō
灬 huǒ
歸 guī
屬 shǔ
飈 biāo
颸 sī
颺 yáng
減 jiǎn
國 guó
葭 jiā
麗 lí
眞 zhēn
痘 dòu
暁 xiǎo
懷 huái
龈 yín
記 jì
講 jiǎng
銘 míng
於 yú
唾 tuò
珉 mín
終 zhōng
係 xì
猥 wěi
専 zhuān
眦 zì
鹫 jiù
婕 jié
娄 lóu
婵 chán
複 fù
夠 gòu
膽 dǎn
後 hòu
該 gāi
讓 ràng
習 xí
慣 guàn
賴 lài
傷 shāng
赟 yūn
剛 gāng
順 shùn
兩 liǎng
冇 mǎo
銀 yín
騎 qí
嚒 mē
曉 xiǎo
囈 yì
魵 fén
擊 jī
噻 sāi
啫 zhě
喱 lí
嘚 dē
炝 qiàng
玥 yuè
诶 ēi
堃 kūn
颌 hé
韋 wéi
撁 qiān
掱 pá
芣 fú
蛹 yǒng
酪 lào
評 píng
論 lùn
煒 wěi
篙 gāo
阉 yān
蘼 mí
節 jié
電 diàn
瀋 shěn
陽 yáng
啟 qǐ
鸳 yuān
鸯 yāng
炤 zhào
陳 chén
栀 zhī
绯 fēi
阆 làng
鈺 yù
唵 ǎn
